ente,regiao,cnpj,rank,URL Prefeitura
São Paulo,SE,46379400000150,1,
Minas Gerais,SE,18715615000160,2,
Rio de Janeiro,SE,42498600000171,3,
Bahia,NE,13937032000160,4,
São Paulo,SE,46395000000139,5,
Paraná,SU,76416940000128,6,
Rio Grande do Sul,SU,87934675000196,7,
Pernambuco,NE,10571982000125,8,
Ceará,NE,07954480000179,9,
União,BR,00394411000109,10,
Pará,NO,05054861000176,11,
Santa Catarina,SU,82951229000176,12,
Goiás,CO,01409580000138,13,
Maranhão,NE,06354468000160,14,
Rio de Janeiro,SE,42498733000148,15,
Paraíba,NE,08761124000100,16,
Espírito Santo,SE,27080530000143,17,
Amazonas,NO,04312369000190,18,
Mato Grosso,CO,03507415000144,19,
Rio Grande do Norte,NE,08241739000105,20,
Piauí,NE,06553481000149,21,
Alagoas,NE,12200176000176,22,
Brasília,CO,26994533000120,23,
Distrito Federal,CO,00394601000126,24,
Mato Grosso do Sul,CO,15412257000128,25,
Salvador,NE,13927801000149,26,
Fortaleza,NE,07954605000160,27,
Belo Horizonte,SE,18715383000140,28,
Sergipe,NE,13128798000101,29,
Manaus,NO,04365326000173,30,
Curitiba,SU,76417005000186,31,
Rondônia,NO,00394585000171,32,
Tocantins,NO,01786029000103,33,
Recife,NE,10565000000192,34,
Goiânia,CO,01612092000123,35,
Porto Alegre,SU,92963560000160,36,
Guarulhos,SE,46319000000150,37,
Belém,NO,05055009000113,38,
Campinas,SE,51885242000140,39,
São Luís,NE,06307102000130,40,
Maceió,NE,12200135000180,41,
Campo Grande,CO,03501509000106,42,
São Gonçalo,SE,28636579000100,43,
João Pessoa,NE,08778326000156,44,
Teresina,NE,06554869000164,45,
São Bernardo do Campo,SE,46523239000147,46,
Acre,NO,63606479000124,47,
Nova Iguaçu,SE,29138278000101,48,
Duque de Caxias,SE,29138328000150,49,
Osasco,SE,46523171000104,50,
Santo André,SE,46522942000130,51,
Amapá,NO,00394577000125,52,
Natal,NE,08241747000143,53,
Sorocaba,SE,46634044000174,54,
Uberlândia,SE,18431312000115,55,
São José dos Campos,SE,46643466000106,56,
Ribeirão Preto,SE,56024581000156,57,
Cuiabá,CO,03533064000146,58,
Jaboatão dos Guararapes,NE,10377679000196,59,
Feira de Santana,NE,14043574000151,60,
Roraima,NO,84012012000126,61,
Joinville,SU,83169623000110,62,
Contagem,SE,18715508000131,63,
Aracaju,NE,13128780000100,64,
Londrina,SU,75771477000170,65,
Florianópolis,SU,82892282000143,66,
Juiz de Fora,SE,18338178000102,67,
Serra,SE,27174093000127,68,
Niterói,SE,28521748000159,69,
Ananindeua,NO,05058441000168,70,
Caxias do Sul,SU,88830609000139,71,
Aparecida de Goiânia,CO,01005727000124,72,
Vila Velha,SE,27165554000103,73,
Macapá,NO,05995766000177,74,
São José do Rio Preto,SE,46588950000180,75,
Campos dos Goytacazes,SE,29116894000161,76,
Mogi das Cruzes,SE,46523270000188,77,
Porto Velho,NO,05903125000145,78,
Jundiaí,SE,45780103000150,79,
Maringá,SU,76282656000106,80,
Belford Roxo,SE,39485438000142,81,
Montes Claros,SE,22678874000135,82,
Piracicaba,SE,46341038000129,83,
Betim,SE,18715391000196,84,
Campina Grande,NE,08993917000146,85,
Santos,SE,58200015000183,86,
Boa Vista,NO,05943030000155,87,
Carapicuíba,SE,44892693000140,88,
Diadema,SE,46523247000193,89,
São João de Meriti,SE,29138336000105,90,
Anápolis,CO,01067479000146,91,
Itaquaquecetuba,SE,46316600000164,92,
Ponta Grossa,SU,76175884000187,93,
Bauru,SE,46137410000180,94,
Petrolina,NE,10358190000177,95,
Vitória da Conquista,NE,14239578000100,96,
Mauá,SE,46522959000198,97,
Caruaru,NE,10091536000113,98,
Cariacica,SE,27150549000119,99,
Caucaia,NE,07616162000106,100,
Franca,SE,47970769000104,101,
Rio Branco,NO,04034583000122,102,
Blumenau,SU,83108357000115,103,
Uberaba,SE,18428839000190,104,
Santarém,NO,05182233000176,105,
Cascavel,SU,76208867000107,106,
Olinda,NE,10404184000109,107,
Paulista,NE,10408839000117,108,
Praia Grande,SE,46177531000155,109,
Barueri,SE,46523015000135,110,
Canoas,SU,88577416000118,111,
São Vicente,SE,46177523000109,112,
Palmas,CO,24851511000185,113,
Camaçari,NE,14109763000180,114,
Vitória,SE,27142058000126,115,
Suzano,SE,46523056000121,116,
Ribeirão das Neves,SE,18314609000109,117,
São José dos Pinhais,SU,76105543000135,118,
Pelotas,SU,87455531000157,119,
Várzea Grande,CO,03507548000110,120,
Taubaté,SE,45176005000108,121,
Guarujá,SE,44959021000104,122,
Limeira,SE,45132495000140,123,
Petrópolis,SE,29138344000143,124,
Santa Maria,SU,88488366000100,125,
Sumaré,SE,45787660000100,126,
Itajaí,SU,83102277000152,127,
Cotia,SE,46523049000120,128,
São José,SU,82892274000105,129,
Foz do Iguaçu,SU,76206606000140,130,
Taboão da Serra,SE,46523122000163,131,
Gravataí,SU,87890992000158,132,
Embu das Artes,SE,46523114000117,133,
Imperatriz,NE,06158455000116,134,
Parauapebas,NO,22980999000115,135,
Marabá,NO,05853163000130,136,
Volta Redonda,SE,32512501000143,137,
São José de Ribamar,NE,06351514000178,138,
Juazeiro do Norte,NE,07974082000114,139,
Indaiatuba,SE,44733608000109,140,
Mossoró,NE,08348971000139,141,
Macaé,SE,29115474000160,142,
Governador Valadares,SE,20622890000180,143,
Dourados,CO,03155926000144,144,
São Carlos,SE,45358249000101,145,
Rondonópolis,CO,03347101000121,146,
Parnamirim,NE,08170862000174,147,
Jacareí,SE,46694139000183,148,
Chapecó,SU,83021808000182,149,
Araraquara,SE,45276128000110,150,
Divinópolis,SE,18291351000164,151,
Magé,SE,29138351000145,152,
Hortolândia,SE,67995027000132,153,
Juazeiro,NE,13915632000127,154,
Americana,SE,45781176000166,155,
Novo Hamburgo,SU,88254875000160,156,
Itapevi,SE,46523031000128,157,
Colombo,SU,76105634000170,158,
Marília,SE,44477909000100,159,
Palhoça,SU,82892316000108,160,
Arapiraca,NE,12198693000158,161,
Sete Lagoas,SE,24996969000122,162,
Maracanaú,NE,07605850000162,163,
Criciúma,SU,82916818000113,164,
Itaboraí,SE,28741080000155,165,
Presidente Prudente,SE,55356653000108,166,
Maricá,SE,29131075000193,167,
Viamão,SU,88000914000101,168,
Lauro de Freitas,NE,13927819000140,169,
Sobral,NE,07598634000137,170,
Passo Fundo,SU,87612537000190,171,
São Leopoldo,SU,89814693000160,172,
Rio Verde,CO,02056729000105,173,
Cabo Frio,SE,28549483000105,174,
Araçatuba,SE,45511847000179,175,
Santa Luzia,SE,18715409000150,176,
Ipatinga,SE,19876424000142,177,
Águas Lindas de Goiás,CO,01616520000196,178,
Rio Claro,SE,45774064000188,179,
Nova Friburgo,SE,28606630000123,180,
Cabo de Santo Agostinho,NE,11294402000162,181,
Castanhal,NO,05121991000184,182,
Sinop,CO,15024003000132,183,
Ilhéus,NE,13672597000162,184,
Valparaíso de Goiás,CO,01616319000109,185,
Luziânia,CO,01169416000109,186,
Cachoeiro de Itapemirim,SE,27165588000190,187,
Jaraguá do Sul,SU,83102459000123,188,
Nossa Senhora do Socorro,NE,13128814000158,189,
Rio Grande,SU,88566872000162,190,
Guarapuava,SU,76178037000176,191,
Teresópolis,SE,29138369000147,192,
Ferraz de Vasconcelos,SE,46523197000144,193,
Araguaína,CO,01830793000139,194,
Alvorada,SU,88000906000157,195,
Itabuna,NE,14147490000168,196,
Santa Bárbara d'Oeste,SE,46422408000152,197,
Francisco Morato,SE,46523072000114,198,
Ibirité,SE,18715490000178,199,
Bragança Paulista,SE,46352746000165,200,
Angra dos Reis,SE,29172467000109,201,
Itu,SE,46634440000100,202,
Timon,NE,06115307000114,203,
Itapecerica da Serra,SE,46523130000100,204,
Poços de Caldas,SE,18629840000183,205,
Atibaia,SE,45279635000108,206,
Linhares,SE,27167410000188,207,
Mesquita,SE,04132090000125,208,
Fazenda Rio Grande,SU,95422986000102,209,
Itapetininga,SE,46634291000170,210,
São Caetano do Sul,SE,59307595000175,211,
Araucária,SU,76105535000199,212,
Barra Mansa,SE,28695658000184,213,
Barreiras,NE,13654405000195,214,
Pindamonhangaba,SE,45226214000119,215,
Lages,SU,82777301000190,216,
Santana de Parnaíba,SE,46522983000127,217,
Parnaíba,NE,06554430000131,218,
Pouso Alegre,SE,18675983000121,219,
Patos de Minas,SE,18602011000107,220,
Franco da Rocha,SE,46523080000160,221,
Porto Seguro,NE,13635016000112,222,
Abaetetuba,NO,05105127000199,223,
